,Detected Changepoints,Actual Changepoints,Predicted Drift Types,Actual Drift Types,F1-Score,Precision,Recall,Average Lag,y_pred_sorted,y_true_sorted
log_100_1691502971.xes,"[(727, 727)]","[(636, 1212)]",['sudden'],['gradual'],,,,,[nan],['gradual']
log_10_1691502669.xes,"[(1555, 1555), (3547, 3547), (5082, 5082), (7934, 7934)]","[(1594, 1594), (3550, 3550), (5139, 6040), (7936, 8446)]","['sudden', 'sudden', 'sudden', 'sudden']","['sudden', 'sudden', 'gradual', 'gradual']",0.5,0.5,0.5,42.0,"['sudden', 'sudden', nan, nan]","['sudden', 'sudden', 'gradual', 'gradual']"
log_11_1691502677.xes,"[(1280, 1280)]","[(1131, 1825), (2678, 3478), (5461, 6317)]",['sudden'],"['gradual', 'gradual', 'gradual']",,,,,"[nan, nan, nan]","['gradual', 'gradual', 'gradual']"
log_12_1691502692.xes,[],"[(1839, 2685), (3442, 3442), (4281, 4281), (5705, 6615)]",[],"['gradual', 'sudden', 'sudden', 'gradual']",,,,,"[nan, nan, nan, nan]","['gradual', 'sudden', 'sudden', 'gradual']"
log_13_1691502697.xes,[],"[(884, 1800), (3639, 3639), (4525, 5453)]",[],"['gradual', 'sudden', 'gradual']",,,,,"[nan, nan, nan]","['gradual', 'sudden', 'gradual']"
log_14_1691502706.xes,"[(807, 807), (3546, 3546)]","[(817, 1607), (3560, 3560)]","['sudden', 'sudden']","['gradual', 'sudden']",0.5,0.5,0.5,28.0,"['sudden', nan]","['sudden', 'gradual']"
log_15_1691502708.xes,"[(672, 672), (2368, 2368), (3774, 3774)]","[(584, 584), (2324, 2927), (3729, 3729), (5128, 5637)]","['sudden', 'sudden', 'sudden']","['sudden', 'gradual', 'sudden', 'gradual']",0.28571428571428575,0.3333333333333333,0.25,90.0,"['sudden', nan, nan, nan]","['sudden', 'sudden', 'gradual', 'gradual']"
log_16_1691502713.xes,"[(1777, 1777), (2578, 2578), (3876, 3876)]","[(1792, 1792), (2597, 3205), (3893, 3893)]","['sudden', 'sudden', 'sudden']","['sudden', 'gradual', 'sudden']",0.6666666666666666,0.6666666666666666,0.6666666666666666,32.0,"['sudden', 'sudden', nan]","['sudden', 'sudden', 'gradual']"
log_17_1691502716.xes,[],"[(1957, 2580), (4529, 4529), (5336, 5336), (7289, 8072)]",[],"['gradual', 'sudden', 'sudden', 'gradual']",,,,,"[nan, nan, nan, nan]","['gradual', 'sudden', 'sudden', 'gradual']"
log_18_1691502723.xes,"[(3087, 3087), (5703, 5703), (7315, 7315)]","[(842, 1483), (3043, 3939), (5613, 5613), (7228, 7228)]","['sudden', 'sudden', 'sudden']","['gradual', 'gradual', 'sudden', 'sudden']",0.5714285714285715,0.6666666666666666,0.5,177.0,"['sudden', 'sudden', nan, nan]","['sudden', 'sudden', 'gradual', 'gradual']"
log_19_1691502731.xes,"[(1075, 1075), (2545, 2545)]","[(799, 1559), (2469, 2469), (3922, 4804)]","['sudden', 'sudden']","['gradual', 'sudden', 'gradual']",,,,,"[nan, nan, nan]","['gradual', 'sudden', 'gradual']"
log_1_1691502636.xes,"[(896, 896)]","[(870, 870)]",['sudden'],['sudden'],,,,,[nan],['sudden']
log_20_1691502733.xes,"[(1979, 1979), (2953, 2953), (4843, 4843), (6772, 6772)]","[(2000, 2000), (2955, 2955), (4829, 5616), (6775, 6775)]","['sudden', 'sudden', 'sudden', 'sudden']","['sudden', 'sudden', 'gradual', 'sudden']",0.75,0.75,0.75,17.333333333333332,"['sudden', 'sudden', 'sudden', nan]","['sudden', 'sudden', 'sudden', 'gradual']"
log_21_1691502738.xes,"[(1319, 1319), (2193, 2193)]","[(1350, 1350), (2192, 2192)]","['sudden', 'sudden']","['sudden', 'sudden']",0.5,0.5,0.5,2.0,"['sudden', nan]","['sudden', 'sudden']"
log_22_1691502740.xes,[],"[(1734, 1734), (3577, 4234), (4744, 4744)]",[],"['sudden', 'gradual', 'sudden']",,,,,"[nan, nan, nan]","['sudden', 'gradual', 'sudden']"
log_23_1691502744.xes,[],"[(1205, 1205)]",[],['sudden'],,,,,[nan],['sudden']
log_24_1691502746.xes,"[(1125, 1125), (3120, 3120), (5570, 5570), (7268, 7268)]","[(1141, 1141), (3113, 3783), (5597, 5597), (7262, 7938)]","['sudden', 'sudden', 'sudden', 'sudden']","['sudden', 'gradual', 'sudden', 'gradual']",0.5,0.5,0.5,43.0,"['sudden', 'sudden', nan, nan]","['sudden', 'sudden', 'gradual', 'gradual']"
log_25_1691502750.xes,"[(495, 495), (2283, 2283)]","[(513, 513), (2289, 2289)]","['sudden', 'sudden']","['sudden', 'sudden']",1.0,1.0,1.0,24.0,"['sudden', 'sudden']","['sudden', 'sudden']"
log_26_1691502751.xes,"[(1428, 1428)]","[(1405, 1405)]",['sudden'],['sudden'],1.0,1.0,1.0,46.0,['sudden'],['sudden']
log_27_1691502751.xes,[],"[(1485, 1485), (2283, 2283), (4207, 4207), (5868, 6762)]",[],"['sudden', 'sudden', 'sudden', 'gradual']",,,,,"[nan, nan, nan, nan]","['sudden', 'sudden', 'sudden', 'gradual']"
log_28_1691502753.xes,"[(1878, 1878), (2800, 2800)]","[(1877, 1877), (2793, 2793)]","['sudden', 'sudden']","['sudden', 'sudden']",1.0,1.0,1.0,8.0,"['sudden', 'sudden']","['sudden', 'sudden']"
log_29_1691502754.xes,[],"[(748, 748), (1442, 2053), (4009, 4775), (5290, 5916)]",[],"['sudden', 'gradual', 'gradual', 'gradual']",,,,,"[nan, nan, nan, nan]","['sudden', 'gradual', 'gradual', 'gradual']"
log_2_1691502637.xes,"[(1737, 1737), (3977, 3977)]","[(608, 1128), (1704, 2659), (3884, 4607)]","['sudden', 'sudden']","['gradual', 'gradual', 'gradual']",,,,,"[nan, nan, nan]","['gradual', 'gradual', 'gradual']"
log_30_1691502756.xes,"[(4108, 4108), (5423, 5423), (7458, 7458)]","[(1618, 2392), (3999, 4555), (5196, 6153), (7403, 7970)]","['sudden', 'sudden', 'sudden']","['gradual', 'gradual', 'gradual', 'gradual']",,,,,"[nan, nan, nan, nan]","['gradual', 'gradual', 'gradual', 'gradual']"
log_31_1691502758.xes,"[(737, 737), (1353, 1353), (3211, 3211), (3569, 3569), (5959, 5959)]","[(731, 731), (1346, 1346), (3179, 4173), (5961, 5961)]","['sudden', 'sudden', 'sudden', 'sudden', 'sudden']","['sudden', 'sudden', 'gradual', 'sudden']",0.6666666666666665,0.6,0.75,10.0,"['sudden', 'sudden', 'sudden', nan]","['sudden', 'sudden', 'sudden', 'gradual']"
log_32_1691502759.xes,"[(1777, 1777)]","[(1861, 1861), (2756, 2756)]",['sudden'],"['sudden', 'sudden']",,,,,"[nan, nan]","['sudden', 'sudden']"
log_33_1691502762.xes,"[(2814, 2814)]","[(1395, 1395), (2674, 2674)]",['sudden'],"['sudden', 'sudden']",,,,,"[nan, nan]","['sudden', 'sudden']"
log_34_1691502764.xes,"[(819, 819), (1441, 1441)]","[(819, 819), (1424, 1424)]","['sudden', 'sudden']","['sudden', 'sudden']",1.0,1.0,1.0,17.0,"['sudden', 'sudden']","['sudden', 'sudden']"
