log_name,drift_types,change_trace_idx
log_100_1691502971.xes,sudden,"[(727, 727)]"
log_10_1691502669.xes,"sudden, sudden, sudden, sudden","[(1555, 1555), (3547, 3547), (5082, 5082), (7934, 7934)]"
log_11_1691502677.xes,sudden,"[(1280, 1280)]"
log_12_1691502692.xes,,
log_13_1691502697.xes,,
log_14_1691502706.xes,"sudden, sudden","[(807, 807), (3546, 3546)]"
log_15_1691502708.xes,"sudden, sudden, sudden","[(672, 672), (2368, 2368), (3774, 3774)]"
log_16_1691502713.xes,"sudden, sudden, sudden","[(1777, 1777), (2578, 2578), (3876, 3876)]"
log_17_1691502716.xes,,
log_18_1691502723.xes,"sudden, sudden, sudden","[(3087, 3087), (5703, 5703), (7315, 7315)]"
log_19_1691502731.xes,"sudden, sudden","[(1075, 1075), (2545, 2545)]"
log_1_1691502636.xes,sudden,"[(896, 896)]"
log_20_1691502733.xes,"sudden, sudden, sudden, sudden","[(1979, 1979), (2953, 2953), (4843, 4843), (6772, 6772)]"
log_21_1691502738.xes,"sudden, sudden","[(1319, 1319), (2193, 2193)]"
log_22_1691502740.xes,,
log_23_1691502744.xes,,
log_24_1691502746.xes,"sudden, sudden, sudden, sudden","[(1125, 1125), (3120, 3120), (5570, 5570), (7268, 7268)]"
log_25_1691502750.xes,"sudden, sudden","[(495, 495), (2283, 2283)]"
log_26_1691502751.xes,sudden,"[(1428, 1428)]"
log_27_1691502751.xes,,
log_28_1691502753.xes,"sudden, sudden","[(1878, 1878), (2800, 2800)]"
log_29_1691502754.xes,,
log_2_1691502637.xes,"sudden, sudden","[(1737, 1737), (3977, 3977)]"
log_30_1691502756.xes,"sudden, sudden, sudden","[(4108, 4108), (5423, 5423), (7458, 7458)]"
log_31_1691502758.xes,"sudden, sudden, sudden, sudden, sudden","[(737, 737), (1353, 1353), (3211, 3211), (3569, 3569), (5959, 5959)]"
log_32_1691502759.xes,sudden,"[(1777, 1777)]"
log_33_1691502762.xes,sudden,"[(2814, 2814)]"
log_34_1691502764.xes,"sudden, sudden","[(819, 819), (1441, 1441)]"
log_35_1691502765.xes,"sudden, sudden","[(1364, 1364), (2728, 2728)]"
log_36_1691502766.xes,"sudden, sudden, sudden","[(199, 199), (1257, 1257), (3341, 3341)]"
log_37_1691502768.xes,,
log_38_1691502768.xes,"sudden, sudden","[(1722, 1722), (3401, 3401)]"
log_39_1691502770.xes,sudden,"[(981, 981)]"
log_3_1691502642.xes,,
log_40_1691502770.xes,"sudden, sudden","[(819, 819), (2534, 2534)]"
log_41_1691502771.xes,sudden,"[(1834, 1834)]"
log_42_1691502773.xes,"sudden, sudden, sudden, sudden","[(1931, 1931), (3684, 3684), (6102, 6102), (9156, 9156)]"
log_43_1691502781.xes,"sudden, sudden, sudden","[(882, 882), (2446, 2446), (4618, 4618)]"
log_44_1691502783.xes,"sudden, sudden, sudden, sudden","[(610, 610), (1726, 1726), (3248, 3248), (4044, 4044)]"
log_45_1691502785.xes,sudden,"[(1765, 1765)]"
log_46_1691502785.xes,"sudden, sudden","[(698, 698), (2868, 2868)]"
log_47_1691502786.xes,sudden,"[(1246, 1246)]"
log_48_1691502787.xes,sudden,"[(3187, 3187)]"
log_49_1691502790.xes,,
log_4_1691502644.xes,sudden,"[(2067, 2067)]"
log_50_1691502792.xes,sudden,"[(1659, 1659)]"
log_51_1691502796.xes,"sudden, sudden","[(3325, 3325), (5511, 5511)]"
log_52_1691502797.xes,,
log_53_1691502798.xes,"sudden, sudden, sudden, sudden","[(1670, 1670), (3952, 3952), (5683, 5683), (7218, 7218)]"
log_54_1691502801.xes,"sudden, sudden","[(701, 701), (2226, 2226)]"
log_55_1691502801.xes,"sudden, sudden, sudden","[(686, 686), (2876, 2876), (5716, 5716)]"
log_56_1691502804.xes,sudden,"[(3858, 3858)]"
log_57_1691502808.xes,,
log_58_1691502810.xes,,
log_59_1691502813.xes,sudden,"[(1894, 1894)]"
log_5_1691502650.xes,"sudden, sudden, sudden","[(759, 759), (2721, 2721), (4425, 4425)]"
log_60_1691502817.xes,sudden,"[(833, 833)]"
log_61_1691502819.xes,,
log_62_1691502820.xes,sudden,"[(1789, 1789)]"
log_63_1691502822.xes,"sudden, sudden","[(1778, 1778), (2905, 2905)]"
log_64_1691502823.xes,"sudden, sudden, sudden, sudden","[(1045, 1045), (1950, 1950), (3871, 3871), (4970, 4970)]"
log_65_1691502826.xes,,
log_66_1691502834.xes,sudden,"[(1816, 1816)]"
log_67_1691502841.xes,"sudden, sudden","[(1912, 1912), (3868, 3868)]"
log_68_1691502844.xes,"sudden, sudden","[(766, 766), (1940, 1940)]"
log_69_1691502846.xes,,
log_6_1691502653.xes,"sudden, sudden","[(1514, 1514), (5330, 5330)]"
log_70_1691502851.xes,,
log_71_1691502853.xes,gradual,"[(3875, 5642)]"
log_72_1691502860.xes,sudden,"[(1672, 1672)]"
log_73_1691502861.xes,,
log_74_1691502868.xes,,
log_75_1691502870.xes,gradual,"[(1949, 2309)]"
log_76_1691502871.xes,"sudden, sudden, sudden","[(2293, 2293), (4637, 4637), (7420, 7420)]"
log_77_1691502874.xes,sudden,"[(1957, 1957)]"
log_78_1691502879.xes,"sudden, sudden, sudden","[(1507, 1507), (2610, 2610), (4543, 4543)]"
log_79_1691502881.xes,"sudden, sudden","[(915, 915), (2492, 2492)]"
log_7_1691502658.xes,,
log_80_1691502884.xes,,
log_81_1691502893.xes,sudden,"[(555, 555)]"
log_82_1691502895.xes,,
log_83_1691502901.xes,sudden,"[(1549, 1549)]"
log_84_1691502904.xes,"sudden, sudden, sudden","[(850, 850), (1685, 1685), (3391, 3391)]"
log_85_1691502906.xes,,
log_86_1691502910.xes,sudden,"[(1665, 1665)]"
log_87_1691502918.xes,sudden,"[(525, 525)]"
log_88_1691502919.xes,"sudden, sudden","[(4654, 4654), (6670, 6670)]"
log_89_1691502926.xes,,
log_8_1691502661.xes,gradual,"[(2727, 3441)]"
log_90_1691502932.xes,,
log_91_1691502939.xes,,
log_92_1691502942.xes,,
log_93_1691502944.xes,,
log_94_1691502948.xes,"sudden, sudden, sudden, sudden","[(202, 202), (1599, 1599), (3035, 3035), (4220, 4220)]"
log_95_1691502954.xes,sudden,"[(1797, 1797)]"
log_96_1691502956.xes,,
log_97_1691502961.xes,"sudden, sudden, sudden, sudden","[(1884, 1884), (2876, 2876), (5049, 5049), (5751, 5751)]"
log_98_1691502967.xes,"sudden, sudden, sudden, sudden, sudden","[(276, 276), (619, 619), (1174, 1174), (3260, 3260), (3815, 3815)]"
log_99_1691502969.xes,,
log_9_1691502664.xes,"sudden, sudden, sudden, sudden","[(1350, 1350), (2258, 2258), (2968, 2968), (4630, 4630)]"
